證券代號：2330     證券名稱：台積電	資料日期：108年12月27日序	持股/單位數分級	人　　數	股　　數/單位數	占集保庫存數比例 (%)
1	1-999	152,056	31,607,404	0.12
2	1,000-5,000	161,479	317,762,185	1.22
3	5,001-10,000	24,404	177,111,672	0.68
4	10,001-15,000	9,154	111,912,836	0.43
5	15,001-20,000	4,367	76,955,617	0.29
6	20,001-30,000	4,644	113,617,776	0.43
7	30,001-40,000	2,243	77,848,193	0.30
8	40,001-50,000	1,436	64,661,607	0.24
9	50,001-100,000	2,731	190,793,867	0.73
10	100,001-200,000	1,598	221,248,337	0.85
11	200,001-400,000	1,043	289,753,674	1.11
12	400,001-600,000	441	216,351,924	0.83
13	600,001-800,000	277	191,117,333	0.73
14	800,001-1,000,000	171	152,136,601	0.58
15	1,000,001以上	1,448	23,697,501,432	91.38
 	合　計	367,492	25,930,380,458	100.00
